ID,ID (letter),Name,Year,Year,Milestone,Project length,Expected cost,Expected 5309 contribution,Expected other federal funds,Expected opening,Author
307,,Draper Transit Corridor ,2009,AR13,FFGA Awarded,AR11,AR13,AR13,AR13,AR13,
307,,Draper Transit Corridor ,2011,AR13,Preliminary Engineering,AR11,AR11,AR11,NAV,NAV,
307,,Draper Transit Corridor ,2013,https://www.hdrinc.com/portfolio/draper-transit-corridor-environmental-impact-statement,Project Opening,https://www.hdrinc.com/portfolio/draper-transit-corridor-environmental-impact-statement,NAV,NAV,NAV,NAV,
308,,JTA BRT East Corridor,2015,PP,Project Development,PP,PP,PP,NAV,NAV,
308,,JTA BRT East Corridor,2019,AR20,CGA,AR20,AR20,AR20,NAV,NAV,
309,,East-West Corridor/Miami Intermodal Center ,1995,AR97,AR97,AR97,AR97,AR97,AR97,AR97,
309,b,East-West Corridor/Miami Intermodal Center (MOS),1995,AR00,AR00,AR00,AR00,AR00,NAV,AR00,
309,b,East-West Corridor/Miami Intermodal Center (MOS),1996,AR98,Preliminary Engineering,AR98,AR98,AR98,NAV,NAV,
309,,East-West Corridor/Miami Intermodal Center ,1998,AR00,Final Design,AR00,AR00,AR00,AR00,NAV,
309,b,East-West Corridor/Miami Intermodal Center (MOS),1998,AR98,Project Development,AR98,AR98,AR98,NAV,NAV,
310,b,Flagler to duPont Place - ASE Extension,1991,AR97,AR97,AR97,AR97,AR97,AR97,AR97,
310,,Flagler to duPont Place ,1994,AR98,AR98,AR98,AR98,AR98,NAV,AR98,
311,,FrontRunner North Rail Project ,2003,BA13,Project Opening,BA13,NAV,NAV,NAV,BA13,
311,,FrontRunner North Rail Project ,2005,BA13,Preliminary Engineering,BA13,BA13,NAV,NAV,NAV,
311,,FrontRunner North Rail Project ,2006,BA13,Final Design,BA13,BA13,NAV,NAV,NAV,
311,,FrontRunner North Rail Project ,2008,BA13,FFGA Awarded,BA13,BA13,NAV,NAV,NAV,
312,,Hudson Tunnel,2016,PP,Project Development,PP,PP,PP,PP,PP,
