ID,ID (letter),Name,Year of initial milestone,Number of stations,Project type,Funding program,Sponsor_1,Sponsor ID_1,Sponsor_2,Sponsor ID_2,City,State,Mode,Author
353,,Tri-Rail Double-track Corridor Improvement,AR98,AR98,AR05,AR05,,NTD,,,AR98,AR98,AR05,mwj
354,,Wave Streetcar,AR14,AR14,AR14,AR15,,NTD,,,AR14,AR14,AR14,mwj
401,,Atlanta/North Line Extension,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,cox
402,,Baltimore LRT Extensions ,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,cox
403,,Baltimore Central Light Rail Double Tracking ,AR00,AR00,AR00,AR00,,NTD,,,AR00,AR00,AR00,cox
404,,MARC Commuter Rail Improvements,AR00,AR00,AR00,AR00,,NTD,,,AR00,AR00,AR00,cox
405,,MARC Penn-Camden connection ,AR00,AR00,AR00,AR00,,NTD,,,AR00,AR00,AR00,cox
406,,MARC Frederick Extension & Rolling Stock Procurement ,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,cox
407,,Baltimore Red Line,AR13,AR14,AR13,AR13,,NTD,,,AR13,AR13,AR13,cox
408,,Maryland National Capital Purple Line,PP21,PP21,PP21,PP21,,NTD,,,PP21,PP21,PP21,cox
409,,Silver Line,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,cox
410,,Green Line Extension,PP21,PP21,PP21,PP21,,NTD,,,PP21,PP21,PP21,cox
411,,Lowell-Nashua Commuter Rail Extension ,AR00,AR02,AR00,AR00,,NTD,,,AR00,AR00,AR00,cox
412,,Burlington to Charlotte Corridor ,NA,AR98,AR97,AR97,AR97,NA,NA,NA,AR97,AR97,AR97,cox
413,,Burlington-Essex Commuter Rail Project,AR97,AR98,AR97,AR97,,NTD,,,AR97,AR97,AR97,cox
414,,Queens Connector,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,cox
415,,Long Island Rail Road East Side Access,AR00,AR00,AR00,AR00,,NTD,,,AR00,AR00,AR00,cox
