ID,ID (letter),Name,Year of initial milestone,Number of stations,Project type,Funding program,City,State,Mode,Author
402,,Baltimore LRT Extensions ,1994,8,Expansion,New Starts,Baltimore,MD,LRT,cox
403,,Baltimore Central Light Rail Double Tracking ,1999,4,Improvement,New Starts,Baltimore,MD,LRT,cox
404,,MARC Commuter Rail Improvements,2000,NA,Improvement,New Starts,Maryland City ,MD,Commuter Rail,cox
405,,MARC Penn-Camden connection ,2000,NA,Improvement,New Starts,Baltimore,MD,Commuter Rail,cox
406,,MARC Frederick Extension & Rolling Stock Procurement ,1995,2,Expansion,New Starts,Maryland City ,MD,Commuter Rail,cox
407,,Baltimore Red Line,2011,19,Introduction,New Starts,Baltimore,MD,LRT,cox
408,,Maryland National Capital Purple Line,2011,21,Introduction,New Starts,Bethesda,MD,LRT,cox
409,,Silver Line,1993,4,Expansion,New Starts,Boston,MA,BRT,cox
410,,Green Line Extension,2012,7,Expansion,New Starts,Cambridge,MA,LRT,cox
411,,Lowell-Nashua Commuter Rail Extension ,2000,7,Expansion,New Starts,Lowell,MA,Commuter Rail,cox
412,,Burlington to Charlotte Corridor ,1995,4,Improvement,New Starts,Burlington,VT,Commuter Rail,cox
413,,Burlington-Essex Commuter Rail Project,2002,3,Expansion,New Starts,Burlington,VT,Commuter Rail,cox
414,,Queens Connector,1992,NA,Expansion,New Starts,New York ,NY,Heavy Rail,cox
415,,Long Island Rail Road East Side Access,1998,2,Expansion,New Starts,New York,NY,Commuter Rail,cox
416,,Second Avenue Subway,2001,3,Expansion,New Starts,New York,NY,Heavy Rail,cox
417,,Canarsie Line Power Improvements,2014,2,Improvement,Core Capacity,New York,NY,Heavy Rail,cox
418,,Woodhaven Boulevard Select Bus Service,2015,11,Introduction,Small Starts,New York,NY,BRT,cox
419,,Washington/Western Bus Rapid Transit Line,2014,16,Expansion,Small Starts,Albany,NY,BRT,cox
420,,River Corridor/Blue Line Bus Rapid Transit ,2015,31,Expansion,Small Starts,Albany,NY,BRT,cox
421,,Hudson Tunnel,2016,1,Introduction,New Starts,Secaucus,NY,Commuter Rail,cox
422,,Dallas North Central Corridor LRT,1994,6,Expansion,New Starts,Dallas ,TX,LRT,cox
423,,Dallas Trinity Railtran Phase 2,1995,6,Expansion,New Starts,Dallas ,TX,Commuter Rail,cox
424,,Dallas South Oak Cliff Corridor,1992,13,Introduction,New Starts,Dallas ,TX,LRT,cox
425,,Dallas Northwest / Southeast LRT MOS ,2001,16,Expansion,New Starts,Dallas ,TX,LRT,cox
426,,Dallas Red and Blue Line Platform Extensions,2014,28,Improvement,Core Capacity,Dallas,TX,LRT,cox
427,,Dallas CBD Second Light Rail Alignment (D2 Subway),2015,4,Expansion,Core Capacity,Dallas,TX,LRT,cox
428,,Houston Regional Bus Plan ,1994,NA,Improvement,New Starts,Houston,TX,BRT,cox
429,,Houston North Corridor LRT,2005,8,Expansion,New Starts,Houston,TX,LRT,cox
430,,Houston Southeast Corridor LRT,2006,10,Introduction,New Starts,Houston,TX,LRT,cox
431,,Houston University Corridor LRT,2009,19,Expansion,New Starts,Houston,TX,LRT,cox
432,,Houston Downtown to Astrodome Light Rail,1999,17,Introduction,New Starts,Houston,TX,LRT,cox
